Date,Open,High,Low,Close,Volume
2020-04-25,0.1525,0.1667,0.1486,0.1599,1937383.05
2020-04-26,0.1598,0.168,0.1542,0.1593,1283960.27
2020-04-27,0.1602,0.1613,0.1527,0.1558,1021851.26
2020-04-28,0.1558,0.1667,0.15,0.1624,1004334.87
2020-04-29,0.1624,0.1713,0.1616,0.1653,1948922.94
2020-04-30,0.1662,0.1725,0.1573,0.1615,1186171.11
2020-05-01,0.1616,0.1689,0.16,0.1643,682277.34
2020-05-02,0.1639,0.1665,0.161,0.1665,508933.23
2020-05-03,0.1666,0.1688,0.1596,0.1616,447481.06
2020-05-04,0.1616,0.1629,0.1489,0.156,807076.19
2020-05-05,0.156,0.163,0.1523,0.1568,571097.78
2020-05-06,0.1568,0.1604,0.1507,0.152,364243.09
2020-05-07,0.1513,0.16,0.1484,0.153,611763.4
2020-05-08,0.153,0.1678,0.1509,0.1626,1433922.03
2020-05-09,0.1626,0.17,0.161,0.161,834499.74
2020-05-10,0.161,0.1614,0.13,0.1434,1116200.34
2020-05-11,0.1435,0.1488,0.1316,0.1394,1035961.17
2020-05-12,0.1392,0.1473,0.1382,0.145,352456.04
2020-05-13,0.1451,0.16,0.1445,0.1576,1675334.99
2020-05-14,0.1579,0.1652,0.1543,0.155,1256125.62
2020-05-15,0.1546,0.1611,0.1494,0.1516,965894.58
2020-05-16,0.1511,0.1623,0.15,0.1568,588464.07
2020-05-17,0.1567,0.1819,0.156,0.1701,2832572.75
2020-05-18,0.1701,0.1738,0.1647,0.1683,983017.05
2020-05-19,0.1682,0.1682,0.1621,0.1645,540482.04
2020-05-20,0.1645,0.175,0.1605,0.1663,1395038.29
2020-05-21,0.1665,0.189,0.1615,0.1723,3065723.33
2020-05-22,0.1723,0.1836,0.1655,0.1776,1854112.43
2020-05-23,0.1775,0.1785,0.1715,0.1743,813243.48
2020-05-24,0.1744,0.185,0.1691,0.1739,2313457.82
2020-05-25,0.1734,0.1875,0.171,0.1845,2091231.82
2020-05-26,0.1852,0.2,0.1774,0.1814,2183626.88
2020-05-27,0.1813,0.186,0.173,0.1841,1291894.34
2020-05-28,0.1838,0.1839,0.1765,0.1811,1060545.46
2020-05-29,0.1808,0.1999,0.1806,0.1949,1476850.76
2020-05-30,0.1949,0.197,0.191,0.1949,962203.17
2020-05-31,0.195,0.2018,0.1799,0.1828,1614381.99
2020-06-01,0.1827,0.1983,0.1805,0.1922,1416101.37
2020-06-02,0.1928,0.2214,0.1892,0.2106,3536036.81
2020-06-03,0.2106,0.2215,0.205,0.2092,1900751.37
2020-06-04,0.2098,0.2109,0.1975,0.2043,1115972.95
2020-06-05,0.2043,0.2115,0.1999,0.2013,928837.51
2020-06-06,0.2,0.2086,0.1991,0.2074,512328.17
2020-06-07,0.2079,0.2106,0.1985,0.2076,646366.97
2020-06-08,0.2077,0.23,0.2051,0.2158,1786315.22
2020-06-09,0.2167,0.2243,0.2043,0.2154,918270.19
2020-06-10,0.2151,0.2233,0.2115,0.2216,963132.72
