Date,Open,High,Low,Close,Volume
2020-04-25,1.012,1.034,1.0025,1.0221,1227625.47
2020-04-26,1.022,1.0552,1.0139,1.0522,1421971.79
2020-04-27,1.0541,1.199,1.0269,1.055,5614348.52
2020-04-28,1.055,1.085,1.0385,1.0534,1374085.56
2020-04-29,1.0544,1.1433,1.0541,1.099,1876720.72
2020-04-30,1.0989,1.145,1.0492,1.0552,1401511.78
2020-05-01,1.0513,1.0924,1.051,1.0751,623085.13
2020-05-02,1.0747,1.0913,1.0669,1.0884,487065.58
2020-05-03,1.0897,1.0967,1.0493,1.0624,882692.29
2020-05-04,1.063,1.1062,1.0054,1.06,1238084.99
2020-05-05,1.06,1.0685,1.0277,1.0517,737162.03
2020-05-06,1.049,1.0584,1.02,1.024,529173.68
2020-05-07,1.0232,1.0627,1.0115,1.0444,766009.92
2020-05-08,1.0424,1.0765,1.0114,1.0551,858559.36
2020-05-09,1.0551,1.0683,1.0403,1.0406,401525.14
2020-05-10,1.0406,1.0406,0.9,0.9552,1370450.56
2020-05-11,0.9577,0.9765,0.895,0.931,980803.03
2020-05-12,0.9287,1.1165,0.9275,1.0699,3896486.23
2020-05-13,1.0705,1.175,1.0512,1.06,4273422.92
2020-05-14,1.0614,1.0799,1.0391,1.0461,825120.63
2020-05-15,1.0469,1.0631,1.0101,1.0298,655761.34
2020-05-16,1.0287,1.0462,1.0144,1.0299,387524.1
2020-05-17,1.0299,1.0936,1.0236,1.0497,651974.28
2020-05-18,1.051,1.075,1.041,1.0638,413610.6
2020-05-19,1.0639,1.07,1.0385,1.0615,424002.04
2020-05-20,1.0615,1.083,1.0309,1.0542,696417.01
2020-05-21,1.054,1.1653,0.9925,1.0167,2375379.45
2020-05-22,1.0177,1.088,1.003,1.0665,1036120.15
2020-05-23,1.0693,1.1,1.0306,1.0699,913502.99
2020-05-24,1.0724,1.098,1.0108,1.0117,1013676.19
2020-05-25,1.0103,1.0713,1.0056,1.0576,880167.06
2020-05-26,1.0576,1.1463,1.0438,1.0645,2775140.27
2020-05-27,1.0661,1.0872,1.0488,1.0653,776355.23
2020-05-28,1.065,1.094,1.0556,1.087,398456.91
2020-05-29,1.0875,1.1099,1.055,1.0859,535076.94
2020-05-30,1.0861,1.1346,1.0762,1.1137,904922.98
2020-05-31,1.1145,1.1344,1.0861,1.0945,710065.99
2020-06-01,1.0922,1.1564,1.0901,1.1485,891661.4
2020-06-02,1.1485,1.1579,1.058,1.118,927716.97
2020-06-03,1.1182,1.1229,1.0924,1.1176,555258.14
2020-06-04,1.1178,1.167,1.105,1.1256,862008.64
2020-06-05,1.1261,1.155,1.1173,1.1305,767613.45
2020-06-06,1.1303,1.1918,1.1155,1.1487,1663412.96
2020-06-07,1.1487,1.1585,1.1131,1.1443,564304.66
2020-06-08,1.1442,1.21,1.1348,1.1852,1350029.76
2020-06-09,1.1852,1.1869,1.1576,1.1721,438412.21
2020-06-10,1.1722,1.3197,1.168,1.2423,3169835.38
2020-06-11,1.2433,1.2952,1.1,1.1335,1639581.6
2020-06-12,1.1312,1.2122,1.13,1.2103,544268.08
2020-06-13,1.2121,1.261,1.1832,1.2489,628653.9
2020-06-14,1.2475,1.2571,1.1622,1.1748,473525.48
2020-06-15,1.1751,1.1853,1.0912,1.1659,779627.52
2020-06-16,1.1671,1.2999,1.161,1.2563,2548664.71
2020-06-17,1.2561,1.2924,1.212,1.2609,760729.36
2020-06-18,1.2609,1.2646,1.214,1.2375,433993.44
2020-06-19,1.2335,1.2513,1.2005,1.2151,337658.23
2020-06-20,1.2151,1.2328,1.1799,1.2023,422293.07
2020-06-21,1.2024,1.2275,1.1961,1.1997,287048.23
2020-06-22,1.2016,1.2348,1.1997,1.2258,360704.38
2020-06-23,1.228,1.263,1.2264,1.239,416893.36
2020-06-24,1.239,1.2475,1.1615,1.1849,548775.31
2020-06-25,1.1845,1.191,1.15,1.1848,438687.52
2020-06-26,1.1835,1.1835,1.1497,1.1542,354616.04
2020-06-27,1.1542,1.1895,1.0701,1.1133,448811.69
2020-06-28,1.1133,1.1395,1.1006,1.1339,185962.93
2020-06-29,1.1346,1.1498,1.1139,1.141,269004.63
2020-06-30,1.144,1.145,1.1177,1.12,148610.14
2020-07-01,1.1212,1.1659,1.1156,1.1515,199224.25
2020-07-02,1.1531,1.1875,1.1121,1.1258,772563.92
2020-07-03,1.1289,1.1359,1.12,1.121,150254.82
2020-07-04,1.119,1.134,1.0989,1.1305,143131.31
2020-07-05,1.1305,1.1309,1.1001,1.116,202686.56
2020-07-06,1.116,1.1597,1.1139,1.1597,354168.4
2020-07-07,1.158,1.1753,1.1421,1.1672,389815.47
2020-07-08,1.1675,1.2183,1.1572,1.2117,1120059.79
2020-07-09,1.2118,1.2228,1.148,1.1704,787551.16
2020-07-10,1.172,1.2,1.041,1.1585,783627.57
2020-07-11,1.1605,1.2069,1.1553,1.2008,647787.41
2020-07-12,1.201,1.2299,1.1854,1.2111,925904.35
2020-07-13,1.2136,1.222,1.1615,1.1835,732169.51
2020-07-14,1.1795,1.3195,1.1647,1.3189,2509371.69
2020-07-15,1.319,1.4199,1.29,1.3215,3813002.0
2020-07-16,1.3227,1.58,1.2059,1.3487,6591009.44
2020-07-17,1.3518,1.6194,1.3158,1.4601,4619804.59
2020-07-18,1.4589,1.5422,1.3978,1.4689,1663081.91
2020-07-19,1.4689,1.51,1.4049,1.4572,988886.24
2020-07-20,1.4599,1.8,1.4308,1.5996,6510211.93
2020-07-21,1.5995,1.7661,1.5382,1.6581,2693354.78
2020-07-22,1.6581,1.76,1.639,1.6715,1987515.48
2020-07-23,1.6716,1.6994,1.5456,1.588,1770266.51
2020-07-24,1.5863,1.6905,1.5281,1.5617,1279357.04
2020-07-25,1.565,1.6081,1.4981,1.527,844255.52
2020-07-26,1.5237,1.5372,1.4447,1.525,1158055.03
2020-07-27,1.5224,1.5262,1.3761,1.4734,1272977.6
2020-07-28,1.4718,1.5268,1.4553,1.4994,825170.97
2020-07-29,1.4958,1.533,1.4761,1.5003,771124.63
2020-07-30,1.5003,1.64,1.4944,1.5293,1992676.53
2020-07-31,1.5295,1.5552,1.5042,1.5206,1022330.44
2020-08-01,1.5205,1.5743,1.5101,1.5707,2389212.9
2020-08-02,1.5707,1.6797,1.4602,1.599,3879369.25
2020-08-03,1.6005,1.7176,1.5784,1.6956,6198595.31
2020-08-04,1.6938,1.71,1.6,1.6458,4719052.13
2020-08-05,1.6457,1.6507,1.5898,1.6475,3775953.1
2020-08-06,1.6475,1.791,1.6347,1.711,5923433.93
2020-08-07,1.7114,1.7933,1.6722,1.786,2650928.99
