Date,Open,High,Low,Close,Volume
2020-04-25,8.77e-05,9e-05,8.64e-05,8.84e-05,5515188115.0
2020-04-26,8.85e-05,9.11e-05,8.79e-05,8.89e-05,7756872673.0
2020-04-27,8.88e-05,9.08e-05,8.22e-05,8.51e-05,12577720021.0
2020-04-28,8.51e-05,8.7e-05,8.3e-05,8.54e-05,7828328151.0
2020-04-29,8.54e-05,8.97e-05,8.54e-05,8.95e-05,12439476430.0
2020-04-30,8.96e-05,9.3e-05,8.55e-05,8.62e-05,11871308520.0
2020-05-01,8.61e-05,8.95e-05,8.55e-05,8.73e-05,10085469604.0
2020-05-02,8.73e-05,8.88e-05,8.63e-05,8.84e-05,6023543405.0
2020-05-03,8.84e-05,8.98e-05,8.54e-05,8.67e-05,9211236307.0
2020-05-04,8.69e-05,8.75e-05,8.23e-05,8.67e-05,8722720270.0
2020-05-05,8.67e-05,8.75e-05,8.45e-05,8.53e-05,8732468227.0
2020-05-06,8.52e-05,8.7e-05,8.3e-05,8.32e-05,9628636009.0
2020-05-07,8.32e-05,8.54e-05,8.15e-05,8.34e-05,8791283456.0
2020-05-08,8.34e-05,8.55e-05,8.17e-05,8.32e-05,9539023244.0
2020-05-09,8.32e-05,8.41e-05,8.03e-05,8.06e-05,8067949892.0
2020-05-10,8.06e-05,8.07e-05,6.83e-05,7.43e-05,11613978888.0
2020-05-11,7.43e-05,7.64e-05,6.71e-05,7.22e-05,9835399438.0
2020-05-12,7.21e-05,7.64e-05,7.16e-05,7.24e-05,6780313138.0
2020-05-13,7.25e-05,7.53e-05,7.22e-05,7.36e-05,6170798691.0
2020-05-14,7.36e-05,7.47e-05,7.28e-05,7.46e-05,10106414809.0
2020-05-15,7.43e-05,7.49e-05,7.1e-05,7.21e-05,9443377066.0
2020-05-16,7.21e-05,7.35e-05,7.15e-05,7.26e-05,5452772709.0
2020-05-17,7.26e-05,7.47e-05,7.24e-05,7.29e-05,6162468259.0
2020-05-18,7.29e-05,7.58e-05,7.27e-05,7.43e-05,8298016341.0
