Date,Open,High,Low,Close,Volume
2020-04-25,60.72,62.39,60.04,60.55,53175.29274
2020-04-26,60.55,62.0,59.84,61.33,61648.23511
2020-04-27,61.36,62.48,60.91,62.36,56186.86538
2020-04-28,62.4,63.83,61.22,62.07,81842.32202
2020-04-29,62.05,66.89,61.63,66.32,125685.27454
2020-04-30,66.31,68.42,61.11,62.28,125526.44439
2020-05-01,62.26,65.0,62.2,63.45,49802.91724
2020-05-02,63.45,64.97,63.29,64.54,27670.26567
2020-05-03,64.55,65.12,61.73,62.37,51250.93487
2020-05-04,62.42,62.61,58.53,61.06,73522.35412
2020-05-05,61.09,62.02,59.7,60.31,57308.97616
2020-05-06,60.33,62.06,57.36,57.85,126465.45997
2020-05-07,57.8,64.98,57.2,64.6,172064.24404
2020-05-08,64.59,65.93,63.06,63.39,146156.29752
2020-05-09,63.43,64.92,62.62,63.05,67357.01938
2020-05-10,62.97,63.15,53.25,58.85,134564.75291
2020-05-11,58.77,61.98,55.7,59.36,139601.77309
2020-05-12,59.41,62.37,59.16,61.5,67381.49689
2020-05-13,61.54,66.23,61.41,65.0,116846.55614
2020-05-14,65.03,65.77,62.66,65.28,100135.35976
2020-05-15,65.24,65.72,62.34,62.77,81238.96785
2020-05-16,62.73,65.88,62.03,65.42,62814.41423
2020-05-17,65.43,67.15,64.73,65.22,54596.30641
2020-05-18,65.21,67.78,65.01,66.96,59379.1646
2020-05-19,67.02,67.61,64.89,66.7,55491.29068
2020-05-20,66.71,67.09,63.01,64.66,66764.83721
2020-05-21,64.69,65.14,59.96,61.65,65248.26749
2020-05-22,61.65,63.54,61.0,62.89,61318.05756
2020-05-23,62.89,65.0,62.57,63.46,43248.60649
2020-05-24,63.46,63.71,60.58,60.64,54021.43623
2020-05-25,60.65,62.4,60.02,61.54,42997.96878
2020-05-26,61.58,62.36,60.79,61.91,41870.14645
2020-05-27,61.91,65.57,61.34,64.47,56913.08644
2020-05-28,64.5,67.56,63.16,67.15,77866.95229
2020-05-29,67.13,67.89,65.88,66.05,51959.2667
2020-05-30,66.07,68.8,65.33,68.36,70693.19836
2020-05-31,68.36,68.7,63.75,64.94,71165.38539
2020-06-01,64.92,68.47,63.3,67.72,79408.305
2020-06-02,67.72,70.31,63.61,66.66,78751.55303
2020-06-03,66.59,68.21,66.03,67.16,37779.18493
2020-06-04,67.17,68.75,65.58,68.14,61016.61846
2020-06-05,68.13,69.21,67.17,67.45,37004.31975
2020-06-06,67.43,68.12,66.96,67.7,38534.43775
2020-06-07,67.65,68.14,64.64,66.39,66950.26871
2020-06-08,66.4,68.34,66.22,68.28,44730.64637
2020-06-09,68.28,68.79,67.08,67.99,38852.99283
2020-06-10,68.06,69.71,67.42,69.67,60364.50507
2020-06-11,69.69,70.07,63.0,63.71,66936.74356
2020-06-12,63.72,66.58,62.91,65.69,42444.5269
2020-06-13,65.7,66.58,65.03,66.58,26907.53083
2020-06-14,66.54,66.6,64.5,65.39,32749.56722
2020-06-15,65.4,65.66,61.87,64.53,60095.55967
2020-06-16,64.52,66.0,64.27,66.0,30699.42907
2020-06-17,66.01,66.96,64.63,65.09,40350.45225
2020-06-18,65.1,65.93,58.06,64.93,53662.26687
2020-06-19,64.86,65.34,63.44,64.09,50851.69336
2020-06-20,64.13,64.64,63.38,64.06,38798.8949
2020-06-21,64.09,65.06,63.84,64.48,32703.55262
2020-06-22,64.48,66.93,64.46,66.16,59815.29234
2020-06-23,66.16,67.33,65.36,66.87,60325.62158
2020-06-24,66.87,67.41,63.98,64.83,56430.93555
2020-06-25,64.88,65.12,63.08,64.3,43956.74942
2020-06-26,64.28,64.62,63.0,64.0,48994.17029
2020-06-27,64.02,64.34,60.26,62.08,56791.01934
2020-06-28,62.14,63.62,61.76,63.29,40556.06977
2020-06-29,63.31,64.87,62.47,64.19,42987.61591
2020-06-30,64.18,64.6,63.27,63.48,48284.17093
2020-07-01,63.5,64.86,63.22,64.52,53259.37691
2020-07-02,64.51,66.72,62.38,65.2,99637.90342
2020-07-03,65.2,67.5,62.41,62.66,109839.46029
2020-07-04,62.62,64.85,62.46,64.22,87714.30112
2020-07-05,64.23,64.64,61.34,63.33,115618.84926
2020-07-06,63.23,65.04,62.8,64.95,71963.24004
2020-07-07,64.91,65.14,63.71,64.59,37895.55614
2020-07-08,64.64,67.37,64.09,66.27,98759.86722
2020-07-09,66.23,69.32,65.0,67.28,111020.00235
2020-07-10,67.28,68.32,65.11,67.25,119226.91481
2020-07-11,67.29,69.82,67.12,68.74,99714.96027
2020-07-12,68.74,70.35,68.0,69.22,118954.6643
2020-07-13,69.26,70.08,67.6,69.26,87607.61178
2020-07-14,69.18,69.18,66.75,67.81,67397.34686
2020-07-15,67.84,72.57,67.38,70.63,143365.96353
2020-07-16,70.56,71.55,66.56,67.7,127159.85073
2020-07-17,67.69,68.36,67.0,67.64,55782.76937
2020-07-18,67.62,69.24,66.96,68.39,63492.09267
2020-07-19,68.38,69.07,67.64,68.91,50175.52466
2020-07-20,68.91,70.32,68.68,69.31,61706.1563
2020-07-21,69.32,71.67,69.08,69.63,91784.55089
2020-07-22,69.68,71.5,69.28,71.48,70904.4756
2020-07-23,71.45,74.08,70.72,73.02,96122.80963
2020-07-24,72.99,73.03,71.32,71.54,66123.78995
2020-07-25,71.6,73.96,71.48,73.61,60379.8989
2020-07-26,73.62,78.21,73.0,78.16,106938.84373
2020-07-27,78.15,79.5,75.03,78.43,137809.77046
2020-07-28,78.44,83.33,78.36,81.2,203136.31945
2020-07-29,81.2,82.78,78.95,79.11,103575.6979
2020-07-30,79.12,82.54,78.44,80.92,70729.34542
2020-07-31,80.92,84.64,80.27,84.55,77189.51886
2020-08-01,84.49,90.1,83.39,89.64,121998.23347
2020-08-02,89.59,91.04,77.77,85.0,177537.25147
2020-08-03,84.97,89.68,83.95,89.06,90141.46134
2020-08-04,89.06,89.96,85.3,87.24,102073.67799
2020-08-05,87.3,90.62,86.13,90.39,81935.4261
2020-08-06,90.39,96.52,88.32,95.49,129605.19828
2020-08-07,95.45,95.65,90.6,94.01,111836.08048
2020-08-08,94.01,95.23,91.71,94.87,53280.50949
2020-08-09,94.84,94.99,92.16,92.9,59988.61546
2020-08-10,92.91,94.5,88.04,93.76,77069.76802
2020-08-11,93.76,94.88,84.16,87.25,101082.2655
2020-08-12,87.33,89.86,84.07,89.54,63829.66797
2020-08-13,89.45,92.26,85.53,92.03,92458.863
2020-08-14,92.02,93.63,89.82,91.42,102347.9368
2020-08-15,91.43,92.04,88.97,89.76,82519.65634
2020-08-16,89.81,91.42,87.98,91.2,64581.33925
2020-08-17,91.22,95.04,89.4,93.49,97863.2574
2020-08-18,93.45,97.26,91.44,93.43,139230.33581
2020-08-19,93.42,94.49,88.84,91.31,121114.37435
2020-08-20,91.27,101.73,91.23,101.56,181335.3151
2020-08-21,101.61,106.0,92.1,92.21,231350.61953
2020-08-22,92.23,95.03,88.67,94.5,87794.02814
2020-08-23,94.58,94.93,90.5,91.26,63583.77699
2020-08-24,91.25,94.34,90.25,93.64,69353.29332
