Date,Open,High,Low,Close,Volume
2020-08-07,10.0,12.3,9.83,10.4,12603.29
2020-08-08,10.8,10.8,7.45,8.04,15624.85
2020-08-09,8.23,8.56,5.9,6.3,28644.2
2020-08-10,6.0,7.03,3.86,3.98,200754.36
2020-08-11,4.01,5.37,3.65,4.5,406503.01
2020-08-12,4.56,5.9,3.25,3.43,269674.82
2020-08-13,3.43,4.284,3.23,3.872,197281.87
2020-08-14,3.89,4.177,3.631,3.983,37153.46
2020-08-15,4.0,4.492,3.45,4.019,87174.3
2020-08-16,3.941,4.072,3.251,3.526,142368.64
2020-08-17,3.6,4.085,3.6,4.063,34510.16
2020-08-18,4.031,4.9,3.736,4.567,87514.64
2020-08-19,4.535,5.95,4.094,4.856,70239.71
2020-08-20,4.816,5.379,3.87,4.094,39467.46
2020-08-21,4.094,5.564,3.97,5.563,51886.13
2020-08-22,5.437,5.792,4.811,4.857,26432.23
2020-08-23,4.828,5.5,4.799,5.058,13617.46
2020-08-24,5.155,5.251,4.29,4.527,86976.7
2020-08-25,4.466,5.552,4.466,5.106,66173.32
2020-08-26,5.18,5.61,4.915,5.25,12196.21
2020-08-27,5.33,6.232,5.196,5.867,15502.19
2020-08-28,5.867,6.1,5.556,5.641,9493.28
2020-08-29,5.708,5.847,5.209,5.31,2949.99
2020-08-30,5.304,5.488,5.143,5.306,3474.49
2020-08-31,5.271,5.789,5.018,5.728,5616.22
2020-09-01,5.79,5.976,4.939,5.168,5058.97
2020-09-02,5.28,6.959,5.28,6.053,71194.48
2020-09-03,6.137,10.099,6.137,9.369,39300.65
2020-09-04,9.207,10.815,6.201,6.935,102503.09
2020-09-05,6.865,10.006,6.387,8.51,105865.21
2020-09-06,8.542,9.723,7.068,7.774,14086.07
2020-09-07,7.793,9.623,7.519,7.795,22640.58
2020-09-08,7.725,9.25,6.951,8.316,32906.92
2020-09-09,8.434,9.189,7.417,8.079,21676.53
2020-09-10,8.097,8.097,6.892,7.56,73270.27
2020-09-11,7.479,8.245,7.184,7.588,11878.24
2020-09-12,7.604,8.111,7.14,7.337,2624.07
2020-09-13,7.28,7.835,6.306,7.211,34205.99
2020-09-14,7.206,7.83,6.6,7.252,20348.97
2020-09-15,7.128,8.113,6.823,7.978,6689.36
2020-09-16,8.093,8.7,7.844,8.299,11796.78
2020-09-17,8.347,8.476,7.7,8.205,11063.71
2020-09-18,8.213,9.379,7.928,8.9,6393.78
2020-09-19,9.1,9.802,9.1,9.293,6202.87
2020-09-20,9.273,11.178,8.624,10.495,8146.91
2020-09-21,10.6,15.043,9.911,14.316,50328.24
2020-09-22,13.987,14.419,11.05,12.18,25386.66
2020-09-23,12.18,15.03,11.608,14.456,32520.46
2020-09-24,14.595,14.799,11.11,11.429,19974.58
2020-09-25,11.246,12.25,9.676,10.658,14696.27
2020-09-26,10.315,11.652,10.315,11.196,6735.36
2020-09-27,11.072,12.391,10.447,11.314,7853.52
2020-09-28,11.104,11.104,8.446,9.516,32351.92
2020-09-29,9.531,10.6,9.198,9.734,30198.46
2020-09-30,9.634,10.585,9.634,9.992,6062.91
2020-10-01,9.929,10.614,9.055,10.005,16113.03
2020-10-02,10.096,11.864,9.87,10.949,10418.81
2020-10-03,10.991,11.269,10.253,10.6,4098.9
2020-10-04,10.6,11.025,10.17,10.6,4192.76
2020-10-05,10.572,11.182,9.94,10.274,9205.21
2020-10-06,10.111,11.661,8.901,11.393,23296.62
2020-10-07,11.471,11.709,10.467,11.403,4921.95
2020-10-08,11.548,12.203,10.152,10.712,5646.26
2020-10-09,10.77,11.096,8.967,9.508,8648.27
2020-10-10,9.456,9.549,8.261,9.294,20266.24
2020-10-11,9.4,9.6,7.901,8.775,19892.14
2020-10-12,8.751,9.083,7.221,7.57,18790.57
2020-10-13,7.513,7.752,6.826,7.185,29644.69
2020-10-14,7.192,8.191,7.041,7.822,31834.97
2020-10-15,7.822,8.437,7.614,8.142,18919.46
2020-10-16,8.205,8.972,7.878,8.823,9066.32
2020-10-17,8.771,8.971,8.395,8.56,4181.42
2020-10-18,8.642,8.642,8.199,8.246,4838.32
2020-10-19,8.264,8.738,8.157,8.658,3058.01
2020-10-20,8.759,9.975,8.661,9.975,21812.93
2020-10-21,9.895,9.986,8.773,9.237,10532.55
2020-10-22,9.146,9.146,8.187,8.743,6457.03
2020-10-23,8.614,8.853,7.987,8.34,5116.17
2020-10-24,8.472,8.624,8.211,8.37,2087.58
2020-10-25,8.521,9.009,8.182,8.861,6347.24
2020-10-26,8.945,9.917,8.832,9.554,18233.13
2020-10-27,9.598,9.813,9.246,9.719,3752.66
2020-10-28,9.601,11.338,9.415,10.425,14221.34
2020-10-29,10.431,12.048,9.64,11.303,7253.15
2020-10-30,11.555,13.628,10.865,11.657,9675.16
2020-10-31,11.654,11.696,9.525,10.322,27069.72
2020-11-01,10.409,11.089,9.579,9.843,28116.62
2020-11-02,9.796,10.956,8.667,10.747,20553.15
2020-11-03,10.747,11.804,10.546,11.145,8816.66
2020-11-04,11.14,12.182,10.165,10.691,13086.31
2020-11-05,10.472,11.608,9.063,10.45,26477.03
2020-11-06,10.481,10.611,7.414,7.514,50622.19
2020-11-07,7.418,8.554,6.511,7.633,63113.16
2020-11-08,8.117,8.258,6.435,7.208,16527.93
2020-11-09,7.309,7.857,6.43,6.969,18711.76
2020-11-10,6.834,7.103,6.073,6.479,38046.45
2020-11-11,6.519,6.954,5.96,6.839,28913.99
2020-11-12,6.849,7.702,6.52,7.333,16645.09
2020-11-13,7.229,7.418,6.508,6.701,15560.47
2020-11-14,6.517,7.623,6.457,7.064,11937.87
2020-11-15,7.066,8.45,7.026,7.98,20352.44
2020-11-16,8.145,8.206,7.145,7.265,17492.01
2020-11-17,7.144,7.16,6.528,6.623,9296.96
2020-11-18,6.593,8.099,6.246,7.3,26177.6
2020-11-19,7.524,8.013,6.706,7.451,8650.98
2020-11-20,7.376,7.6,6.615,7.15,14978.02
2020-11-21,7.094,7.728,4.956,4.956,58752.44
2020-11-22,4.946,6.228,4.753,5.367,32234.22
2020-11-23,5.292,5.353,3.497,3.613,118921.96
2020-11-24,3.631,3.853,2.707,3.251,155560.2
2020-11-25,3.229,3.72,2.358,2.941,432632.91
2020-11-26,2.992,4.935,2.754,4.132,479140.86
2020-11-27,4.182,4.56,3.718,4.134,47600.5
2020-11-28,4.107,4.347,3.274,3.801,60763.95
2020-11-29,3.778,4.023,3.257,3.661,25975.33
2020-11-30,3.595,3.729,2.694,2.884,53048.79
2020-12-01,2.882,3.716,2.582,3.222,138593.8
2020-12-02,3.269,3.375,2.841,2.929,30618.56
2020-12-03,2.95,3.004,2.7,2.895,74640.88
2020-12-04,2.888,3.649,2.765,3.389,88661.81
2020-12-05,3.437,3.577,3.201,3.249,19090.79
2020-12-06,3.232,3.528,3.174,3.246,8504.53
2020-12-07,3.23,3.644,3.222,3.435,46326.39
2020-12-08,3.447,4.192,3.085,3.976,74832.7
2020-12-09,3.94,4.449,3.772,3.849,22861.09
2020-12-10,3.852,4.275,3.837,4.14,9132.99
