Date,Open,High,Low,Close,Volume
2020-10-21,10.0,11.0,8.612,10.825,31170.56
2020-10-22,10.675,10.86,8.987,10.177,13810.67
2020-10-23,10.161,10.161,8.089,8.406,9311.45
2020-10-24,8.565,8.666,7.312,8.065,21903.58
2020-10-25,8.109,9.007,7.983,8.75,9022.87
2020-10-26,9.007,10.337,8.559,9.737,15120.59
2020-10-27,9.471,10.165,9.007,10.165,8748.22
2020-10-28,9.996,12.145,9.711,11.099,40145.45
2020-10-29,11.247,15.323,10.497,14.7,42024.35
2020-10-30,14.524,17.835,11.1,13.166,158724.07
2020-10-31,13.37,15.296,12.37,14.644,77544.04
2020-11-01,14.732,15.906,13.41,14.2,62315.65
2020-11-02,14.2,16.03,12.889,15.921,70477.45
2020-11-03,16.033,18.475,15.377,18.16,72618.03
2020-11-04,18.2,23.5,16.622,22.029,162649.66
2020-11-05,21.94,28.107,14.296,19.85,346710.73
2020-11-06,19.842,20.342,8.3,8.503,545065.06
2020-11-07,8.5,8.569,1.876,3.704,5396077.53
2020-11-08,3.744,4.342,2.751,3.014,3182565.66
2020-11-09,2.996,3.551,2.77,3.077,2771206.81
2020-11-10,3.045,3.19,1.745,1.922,7260413.04
2020-11-11,1.921,2.331,1.655,2.09,6712204.94
2020-11-12,2.071,2.618,1.888,2.419,4839048.21
2020-11-13,2.425,2.515,1.575,1.68,4238900.44
2020-11-14,1.684,2.078,1.672,1.825,3419833.2
2020-11-15,1.829,1.89,1.551,1.712,4391656.69
2020-11-16,1.715,1.8,1.411,1.486,4344800.0
2020-11-17,1.488,1.519,0.71,0.795,10268489.59
2020-11-18,0.791,1.055,0.638,0.682,23053029.37
2020-11-19,0.681,0.751,0.476,0.549,27860477.18
2020-11-20,0.551,0.645,0.463,0.603,25297926.93
2020-11-21,0.604,0.768,0.548,0.715,25145991.62
2020-11-22,0.714,0.92,0.49,0.623,42082153.73
2020-11-23,0.623,0.69,0.528,0.58,31737108.71
2020-11-24,0.58,0.709,0.517,0.604,25095800.73
2020-11-25,0.606,0.849,0.599,0.782,14404683.77
2020-11-26,0.782,1.125,0.623,0.623,23326230.57
2020-11-27,0.622,0.622,0.47,0.534,27234440.22
2020-11-28,0.533,0.573,0.491,0.541,10698435.58
2020-11-29,0.541,0.562,0.469,0.484,9857587.46
2020-11-30,0.485,0.485,0.377,0.395,23678366.12
2020-12-01,0.394,0.442,0.324,0.397,31051280.52
2020-12-02,0.396,0.41,0.258,0.279,34891964.79
2020-12-03,0.279,0.313,0.264,0.285,26886474.48
2020-12-04,0.284,0.378,0.263,0.367,26619132.61
2020-12-05,0.369,0.376,0.275,0.283,19242338.96
2020-12-06,0.284,0.322,0.279,0.297,12594413.13
2020-12-07,0.297,0.32,0.281,0.304,8544101.46
2020-12-08,0.304,0.409,0.301,0.392,21447610.59
2020-12-09,0.393,0.458,0.363,0.382,22088979.64
2020-12-10,0.384,0.447,0.373,0.442,18509050.84
2020-12-11,0.44,0.529,0.429,0.462,25302481.9
2020-12-12,0.463,0.466,0.368,0.385,19552983.67
2020-12-13,0.385,0.386,0.332,0.352,13083212.33
2020-12-14,0.354,0.394,0.354,0.369,10828748.16
2020-12-15,0.367,0.408,0.348,0.4,8735582.25
2020-12-16,0.401,0.42,0.308,0.332,24903042.19
2020-12-17,0.332,0.353,0.3,0.339,19510033.66
2020-12-18,0.339,0.36,0.28,0.301,20945372.41
2020-12-19,0.3,0.315,0.278,0.307,7674202.41
2020-12-20,0.309,0.364,0.309,0.343,8824215.21
2020-12-21,0.345,0.393,0.316,0.379,14121903.39
2020-12-22,0.379,0.449,0.357,0.365,16680206.56
2020-12-23,0.366,0.6,0.349,0.49,36122715.95
2020-12-24,0.492,0.523,0.348,0.348,31764746.23
2020-12-25,0.348,0.388,0.314,0.356,15906756.54
2020-12-26,0.357,0.42,0.344,0.392,12235528.27
2020-12-27,0.393,0.432,0.297,0.374,21929173.28
2020-12-28,0.373,0.387,0.317,0.374,15215680.15
2020-12-29,0.374,0.443,0.359,0.404,8447548.12
2020-12-30,0.403,0.432,0.38,0.417,5301842.3
2020-12-31,0.416,0.441,0.348,0.38,6051819.0
2021-01-01,0.378,0.426,0.352,0.414,3274017.12
2021-01-02,0.414,0.437,0.392,0.431,2844126.04
2021-01-03,0.431,0.48,0.279,0.293,15257792.25
2021-01-04,0.292,0.332,0.232,0.3,17084900.87
2021-01-05,0.301,0.335,0.26,0.294,13296819.72
2021-01-06,0.291,0.316,0.248,0.267,8382332.74
2021-01-07,0.266,0.284,0.087,0.102,227300231.2
2021-01-08,0.1,0.156,0.047,0.064,461192710.3
2021-01-09,0.064,0.07,0.045,0.058,250810576.57
2021-01-10,0.058,0.079,0.05,0.065,153587491.96
2021-01-11,0.065,0.105,0.054,0.055,394989032.48
2021-01-12,0.055,0.062,0.045,0.055,232830417.66
2021-01-13,0.055,0.061,0.035,0.037,288840882.0
2021-01-14,0.037,0.0441,0.0344,0.038,94723708.19
