Date,Open,High,Low,Close,Volume
2020-10-21,10.0,11.409,9.05,9.27,21954.17
2020-10-22,9.594,11.047,9.2,9.808,43072.29
2020-10-23,9.999,11.538,9.9,11.19,21782.42
2020-10-24,11.514,12.3,11.005,11.2,30324.0
2020-10-25,11.2,11.354,10.334,10.45,29785.19
2020-10-26,10.401,10.821,8.756,9.412,32022.82
2020-10-27,9.442,10.294,9.147,9.298,25534.69
2020-10-28,9.2,9.58,7.666,8.204,50278.93
2020-10-29,8.221,8.55,5.983,6.25,89000.92
2020-10-30,6.26,7.93,4.912,6.273,355773.25
2020-10-31,6.331,6.937,5.374,5.676,216588.35
2020-11-01,5.628,6.202,5.108,5.857,236622.79
2020-11-02,5.944,6.436,5.15,5.193,250337.51
2020-11-03,5.15,5.35,4.391,4.471,371515.72
2020-11-04,4.461,4.786,3.472,3.67,773893.77
2020-11-05,3.669,4.961,2.701,3.416,1585359.9
2020-11-06,3.441,7.295,3.334,7.07,1338740.91
2020-11-07,7.139,16.627,7.1,10.1,2587052.61
2020-11-08,10.082,13.2,8.528,11.2,993158.73
2020-11-09,11.248,12.046,9.181,11.0,649356.57
2020-11-10,10.9,19.788,10.4,18.257,912169.2
2020-11-11,18.297,20.88,11.643,13.304,819240.05
2020-11-12,13.385,14.247,10.5,11.289,706222.17
2020-11-13,11.28,15.4,10.758,14.525,528513.67
2020-11-14,14.513,14.649,11.5,13.324,491150.21
2020-11-15,13.361,15.682,11.711,13.75,506516.48
2020-11-16,13.656,17.308,12.48,15.466,512462.09
2020-11-17,15.43,30.169,15.239,27.791,547533.99
2020-11-18,27.791,33.419,19.3,31.6,762366.1
2020-11-19,31.6,42.49,28.261,37.766,526768.33
2020-11-20,37.854,43.473,32.461,34.565,331998.48
2020-11-21,34.799,37.878,26.772,29.212,354789.61
2020-11-22,29.22,34.9,21.25,28.507,939827.75
2020-11-23,28.522,33.052,25.331,30.129,373646.84
2020-11-24,30.174,33.209,25.322,28.74,293392.77
2020-11-25,28.718,28.927,20.783,22.706,211514.97
2020-11-26,22.721,23.999,14.311,23.999,902972.28
2020-11-27,23.999,28.695,21.42,23.984,521590.07
2020-11-28,24.106,26.23,22.009,23.918,194703.79
2020-11-29,23.865,27.68,22.8,26.97,226384.04
2020-11-30,26.9,32.044,26.673,31.04,216281.03
2020-12-01,30.958,35.211,27.0,29.224,188668.71
2020-12-02,29.176,43.345,28.562,39.219,290843.12
2020-12-03,39.342,42.063,34.516,37.5,206238.89
2020-12-04,37.587,39.793,28.45,29.15,187456.01
2020-12-05,29.161,36.876,28.558,36.109,157133.84
2020-12-06,36.277,36.586,32.473,34.977,61828.27
2020-12-07,34.742,36.407,32.71,33.9,95178.66
2020-12-08,33.9,34.118,24.51,25.8,181141.79
2020-12-09,25.75,27.095,21.418,25.552,223072.46
2020-12-10,25.68,26.2,21.894,22.181,209770.87
2020-12-11,22.242,22.628,18.71,20.871,444275.44
2020-12-12,20.822,25.138,20.822,24.409,242903.16
2020-12-13,24.466,27.4,24.343,26.118,179961.24
2020-12-14,26.019,26.019,23.473,25.036,118622.71
2020-12-15,25.122,26.25,22.6,23.0,139605.96
2020-12-16,23.04,29.102,21.71,27.373,244314.66
2020-12-17,27.352,29.934,24.788,26.457,220115.32
2020-12-18,26.4,30.745,24.924,28.982,118656.37
2020-12-19,28.998,31.142,27.493,28.36,82514.92
2020-12-20,28.12,28.12,22.874,24.53,73769.08
2020-12-21,24.422,26.912,19.873,20.999,110332.34
2020-12-22,20.982,22.495,16.587,21.71,171844.68
2020-12-23,21.628,23.025,8.516,11.703,261924.84
2020-12-24,11.553,16.198,10.782,16.192,453667.7
2020-12-25,16.198,17.653,14.781,15.936,238396.68
2020-12-26,15.888,16.206,14.071,14.713,118097.46
2020-12-27,14.785,17.399,13.809,14.962,251568.73
2020-12-28,15.084,16.631,14.751,15.002,151243.79
2020-12-29,15.029,15.408,13.439,14.432,122630.35
2020-12-30,14.499,15.0,13.701,14.077,72524.75
2020-12-31,14.175,15.516,13.401,14.819,194954.95
2021-01-01,14.818,15.538,13.72,13.935,99385.92
2021-01-02,13.951,14.422,13.493,13.689,74798.87
2021-01-03,13.6,16.7,12.541,15.665,194102.59
2021-01-04,15.907,19.0,13.8,15.137,218751.67
2021-01-05,15.232,16.708,13.82,15.478,195122.36
2021-01-06,15.591,17.075,14.648,16.454,183904.43
2021-01-07,16.477,28.759,15.091,20.962,865783.29
2021-01-08,21.057,22.953,10.601,17.921,1112906.73
2021-01-09,18.005,25.7,15.925,17.773,1061766.42
2021-01-10,17.814,20.5,12.9,15.67,576034.28
2021-01-11,15.675,15.751,7.579,11.484,1367826.89
2021-01-12,11.433,13.511,9.543,11.064,511775.46
2021-01-13,11.071,15.331,9.648,14.952,580649.26
2021-01-14,15.046,15.6,12.287,13.999,459055.36
2021-01-15,13.999,14.801,9.389,11.251,557768.46
2021-01-16,11.254,16.1,11.253,14.426,564449.93
2021-01-17,14.524,17.878,12.895,15.16,498130.93
2021-01-18,15.16,21.755,15.0,18.753,602129.48
2021-01-19,18.868,19.433,13.0,13.674,393414.75
2021-01-20,13.5,14.862,10.122,12.85,590749.39
2021-01-21,12.879,13.05,6.711,7.613,773755.19
2021-01-22,7.654,10.292,6.35,9.418,753384.48
2021-01-23,9.417,9.96,8.643,9.234,395069.19
2021-01-24,9.245,10.911,9.024,10.298,408280.05
2021-01-25,10.335,11.12,8.1,8.192,352046.92
2021-01-26,8.192,9.043,7.594,8.763,452241.56
2021-01-27,8.739,8.777,6.7,7.111,500404.8
2021-01-28,7.111,8.9,6.9,8.265,281598.75
2021-01-29,8.265,9.8,7.55,8.47,460370.43
2021-01-30,8.438,9.829,7.444,8.644,1011183.74
2021-01-31,8.606,10.758,7.128,7.675,1325630.54
2021-02-01,7.658,8.363,6.9,8.363,701587.85
2021-02-02,8.313,9.564,7.626,8.658,621991.05
2021-02-03,8.68,11.16,8.631,10.584,905081.07
2021-02-04,10.571,11.348,6.4,7.351,1945778.34
2021-02-05,7.328,9.087,6.814,8.03,1445337.51
2021-02-06,8.032,8.49,6.81,7.387,862226.21
2021-02-07,7.406,7.58,5.889,6.856,904063.44
2021-02-08,6.856,8.6,6.513,7.679,870222.55
2021-02-09,7.679,9.28,6.99,8.983,1657111.68
2021-02-10,8.956,11.418,7.102,8.919,2723935.23
2021-02-11,8.912,15.414,8.02,13.569,2602223.03
2021-02-12,13.499,19.55,13.423,15.353,1691911.79
2021-02-13,15.27,16.62,12.51,15.0,1055837.21
2021-02-14,15.014,15.205,12.034,12.373,481946.38
2021-02-15,12.39,12.85,9.0,10.387,709322.17
2021-02-16,10.399,13.277,9.601,11.865,672617.15
2021-02-17,11.865,12.645,10.168,12.272,369729.17
2021-02-18,12.297,13.6,11.487,12.354,596291.55
2021-02-19,12.355,12.964,10.885,12.277,840212.2
2021-02-20,12.39,13.95,9.16,10.717,1074714.01
2021-02-21,10.69,11.914,10.213,11.003,607227.04
2021-02-22,11.029,11.07,5.268,8.572,1307737.05
2021-02-23,8.62,8.62,4.5,6.224,1501733.76
2021-02-24,6.228,7.409,5.682,6.313,872546.94
