Date,Open,High,Low,Close,Volume
2020-04-25,0.1851,0.1897,0.1797,0.1846,1950613.24
2020-04-26,0.1845,0.199,0.1837,0.1986,3539945.65
2020-04-27,0.199,0.2175,0.1971,0.2066,8361404.23
2020-04-28,0.2066,0.2073,0.1986,0.2041,2302221.28
2020-04-29,0.2041,0.2151,0.2019,0.2132,3568400.73
2020-04-30,0.2135,0.2207,0.1937,0.1982,4444970.54
2020-05-01,0.1986,0.2144,0.1981,0.2136,1526311.98
2020-05-02,0.2135,0.2178,0.2094,0.2142,1841009.84
2020-05-03,0.2141,0.2157,0.198,0.2063,1172709.17
2020-05-04,0.2061,0.2072,0.1916,0.204,1185896.3
2020-05-05,0.2046,0.2065,0.1995,0.2065,595817.29
2020-05-06,0.2065,0.2185,0.203,0.2102,1715721.37
2020-05-07,0.2094,0.3439,0.2057,0.3014,28846918.42
2020-05-08,0.3013,0.4977,0.3007,0.3943,65928217.53
2020-05-09,0.3942,0.49,0.3718,0.4226,48472397.07
2020-05-10,0.4232,0.4717,0.3471,0.3958,46102232.26
2020-05-11,0.3952,0.4057,0.3351,0.3439,22249526.76
2020-05-12,0.3433,0.3835,0.3308,0.3556,20928651.56
2020-05-13,0.3558,0.376,0.3414,0.3475,16207626.84
2020-05-14,0.348,0.366,0.3357,0.3429,11641045.2
2020-05-15,0.3429,0.425,0.3395,0.3825,42228435.75
2020-05-16,0.3823,0.4125,0.38,0.3834,16438784.44
2020-05-17,0.3829,0.393,0.3705,0.3729,10662212.21
2020-05-18,0.3729,0.3859,0.3645,0.3711,11740844.29
2020-05-19,0.3718,0.3719,0.3551,0.3588,6109995.12
2020-05-20,0.3587,0.3843,0.35,0.3608,12646630.57
2020-05-21,0.3603,0.3668,0.3082,0.3232,11268422.46
2020-05-22,0.3226,0.3498,0.3157,0.3337,9608273.09
2020-05-23,0.3338,0.341,0.3229,0.3262,5541625.43
2020-05-24,0.3264,0.3363,0.3005,0.3005,6871194.16
2020-05-25,0.301,0.3282,0.2998,0.3197,5949827.13
2020-05-26,0.3202,0.3611,0.3173,0.3474,17201245.17
2020-05-27,0.3473,0.3544,0.3281,0.3364,6310394.01
2020-05-28,0.3359,0.349,0.3303,0.3328,4714406.84
2020-05-29,0.3332,0.3434,0.3287,0.3327,3666892.99
2020-05-30,0.3325,0.3419,0.329,0.3373,3965530.43
2020-05-31,0.337,0.3389,0.3107,0.3164,4767012.66
2020-06-01,0.3162,0.3359,0.3137,0.3337,4562938.99
2020-06-02,0.3333,0.3578,0.3084,0.3257,13157321.7
2020-06-03,0.3258,0.3355,0.3248,0.3298,2833974.7
2020-06-04,0.3299,0.3348,0.3193,0.3263,4046905.71
2020-06-05,0.3264,0.3291,0.3205,0.3206,1964403.34
2020-06-06,0.3206,0.3293,0.3185,0.3246,2624989.64
2020-06-07,0.3245,0.3289,0.3097,0.322,3116227.57
2020-06-08,0.3219,0.323,0.317,0.3193,1835660.92
2020-06-09,0.3194,0.3532,0.315,0.349,13058149.65
2020-06-10,0.3486,0.4282,0.3481,0.3877,34977233.66
2020-06-11,0.3871,0.4025,0.3251,0.3339,24236115.09
2020-06-12,0.3339,0.3779,0.3294,0.3557,13069080.76
2020-06-13,0.3557,0.3844,0.3555,0.3627,11494175.64
2020-06-14,0.3622,0.3847,0.3523,0.3566,8825562.43
2020-06-15,0.3562,0.3581,0.3196,0.3441,10941090.88
2020-06-16,0.3444,0.3551,0.3378,0.344,4721817.52
2020-06-17,0.344,0.3478,0.3337,0.3426,4471313.21
2020-06-18,0.3425,0.3432,0.3281,0.3311,2950526.22
2020-06-19,0.3311,0.3439,0.3251,0.3306,4552487.54
2020-06-20,0.3306,0.362,0.3304,0.3499,7051196.18
2020-06-21,0.3499,0.3581,0.3428,0.3467,4700181.45
2020-06-22,0.3466,0.3646,0.3466,0.3543,7306498.31
2020-06-23,0.3547,0.3675,0.3493,0.3653,7483323.78
2020-06-24,0.3654,0.3744,0.333,0.3447,10941763.2
2020-06-25,0.3444,0.3479,0.3301,0.3353,5434540.62
2020-06-26,0.3347,0.363,0.3324,0.3526,14657759.28
2020-06-27,0.3528,0.3684,0.3149,0.3325,14003894.0
2020-06-28,0.3325,0.3426,0.3187,0.3312,5476091.89
2020-06-29,0.3318,0.3472,0.3261,0.3459,4104444.8
2020-06-30,0.3459,0.3468,0.333,0.3352,3178696.9
2020-07-01,0.3352,0.3442,0.3311,0.336,3293569.19
2020-07-02,0.336,0.3594,0.3322,0.3444,8573947.91
2020-07-03,0.3438,0.4013,0.3426,0.3808,25664656.0
2020-07-04,0.38,0.4293,0.3738,0.3875,27455856.85
2020-07-05,0.3875,0.4203,0.3599,0.4164,23319410.7
2020-07-06,0.4163,0.4239,0.3883,0.3999,24400974.85
2020-07-07,0.4001,0.427,0.3907,0.4085,16659399.78
2020-07-08,0.4081,0.4788,0.4044,0.4475,32831337.23
2020-07-09,0.4473,0.4515,0.4074,0.4253,16539856.61
2020-07-10,0.4261,0.4286,0.3959,0.4115,10083606.73
2020-07-11,0.4109,0.4431,0.4084,0.4362,11284197.63
2020-07-12,0.436,0.4425,0.4146,0.427,8731189.31
2020-07-13,0.4282,0.4285,0.396,0.4011,13733952.3
2020-07-14,0.4012,0.4057,0.3777,0.3949,12630317.2
2020-07-15,0.3949,0.4102,0.3872,0.3896,7853374.86
2020-07-16,0.3899,0.4023,0.3665,0.4008,11144511.08
2020-07-17,0.4007,0.4132,0.3814,0.3971,11583264.89
2020-07-18,0.3971,0.4298,0.3871,0.418,13851443.58
2020-07-19,0.4186,0.4313,0.4015,0.4199,10122350.21
2020-07-20,0.4199,0.4283,0.3922,0.395,9070590.33
2020-07-21,0.395,0.4097,0.3925,0.4005,7214555.84
2020-07-22,0.4005,0.4083,0.395,0.3994,5911717.39
2020-07-23,0.3994,0.41,0.3873,0.3919,8269089.16
2020-07-24,0.3919,0.3963,0.3828,0.3864,7749857.95
2020-07-25,0.387,0.399,0.383,0.3944,7081469.87
2020-07-26,0.3939,0.3954,0.3768,0.385,9998294.43
2020-07-27,0.3853,0.3885,0.3364,0.3667,22688214.82
2020-07-28,0.3668,0.3863,0.3619,0.3821,14640936.58
2020-07-29,0.3826,0.412,0.3817,0.3836,17149917.14
2020-07-30,0.3836,0.3947,0.378,0.3879,5759969.96
2020-07-31,0.3879,0.3924,0.3776,0.3808,4555486.61
2020-08-01,0.3806,0.4088,0.3785,0.3992,7823056.82
2020-08-02,0.3992,0.41,0.35,0.3795,12101940.85
2020-08-03,0.3798,0.3919,0.3745,0.3813,5507326.48
2020-08-04,0.3817,0.4086,0.3813,0.3976,10128251.37
2020-08-05,0.3974,0.4116,0.3905,0.3974,7465267.23
2020-08-06,0.3974,0.4165,0.38,0.4131,10701228.68
2020-08-07,0.4134,0.43,0.3821,0.3928,12275747.2
2020-08-08,0.3924,0.4263,0.3903,0.4209,11061551.61
2020-08-09,0.4216,0.4492,0.4134,0.4382,15469304.67
